From,To,Weight,count
"Huang, Tao",Genome Annotation,6,11
"Sekizuka, Tsuyoshi",Databases,5,15
"Huang, Tao",Structural Prediction,4,11
"Li, Jun",Structural Prediction,4,8
"Sekizuka, Tsuyoshi",Assembly,4,15
"Franzén, Oscar",Assembly,3,10
"Franzén, Oscar",Sequence Alignment,3,10
"Franzén, Oscar",Sequencing,3,10
"Merrick, B. Alex",Sequence Alignment,3,8
"Sekizuka, Tsuyoshi",Sequencing,3,15
"Wang, Xu",Gene Expression,3,8
"Zhang, Wei",Databases,3,15
"Zhang, Wei",Gene Expression,3,15
"Zhang, Wei",Phylogenetics,3,15
"Merrick, B. Alex",Sequencing,2,8
"Sekizuka, Tsuyoshi",Variant Calling,2,15
"Tuch, Brian B.",Gene Expression,2,8
"Tuch, Brian B.",Sequence Alignment,2,8
"Van Belleghem, Steven M.",Assembly,2,8
"Van Belleghem, Steven M.",Phylogenetics,2,8
"Van Belleghem, Steven M.",Sequencing,2,8
"Wang, Jia",Assembly,2,9
"Wang, Jia",Databases,2,9
"Wang, Jia",Genome Annotation,2,9
"Wang, Xu",Epigenetics,2,8
"Zhang, Wei",Sequencing,2,15
"Zhang, Wei",Structural Prediction,2,15
"Franzén, Oscar",Databases,1,10
"Huang, Tao",Epigenetics,1,11
"Li, Jun",Epigenetics,1,8
"Li, Jun",Genome Annotation,1,8
"Li, Jun",Sequencing,1,8
"Li, Jun",Variant Calling,1,8
"Merrick, B. Alex",Assembly,1,8
"Merrick, B. Alex",Epigenetics,1,8
"Merrick, B. Alex",Variant Calling,1,8
"Sekizuka, Tsuyoshi",Sequence Alignment,1,15
"Tuch, Brian B.",Assembly,1,8
"Tuch, Brian B.",Genome Annotation,1,8
"Tuch, Brian B.",Sequencing,1,8
"Tuch, Brian B.",Variant Calling,1,8
"Van Belleghem, Steven M.",Genome Annotation,1,8
"Van Belleghem, Steven M.",Sequence Alignment,1,8
"Wang, Jia",Epigenetics,1,9
"Wang, Jia",Sequence Alignment,1,9
"Wang, Jia",Structural Prediction,1,9
"Wang, Xu",Sequence Alignment,1,8
"Wang, Xu",Sequencing,1,8
"Wang, Xu",Variant Calling,1,8
"Zhang, Wei",Assembly,1,15
"Zhang, Wei",Genome Annotation,1,15
