db,found,searchTerm,topic
plos,9554,sanger sequencing,Sequencing
bmc,48995,sanger sequencing,Sequencing
crossref,37023,sanger sequencing,Sequencing
entrez,96509,sanger sequencing,Sequencing
arxiv,54228,sanger sequencing,Sequencing
scopus,89260,sanger sequencing,Sequencing
plos,34911,long read sequencing,Sequencing
bmc,324406,long read sequencing,Sequencing
crossref,434845,long read sequencing,Sequencing
entrez,339648,long read sequencing,Sequencing
arxiv,145774,long read sequencing,Sequencing
scopus,39175,long read sequencing,Sequencing
plos,49618,NGS,Sequencing
bmc,28280,NGS,Sequencing
crossref,1244,NGS,Sequencing
entrez,43460,NGS,Sequencing
arxiv,2565,NGS,Sequencing
scopus,24526,NGS,Sequencing
plos,28389,read alignment,Sequence Alignment
bmc,137308,read alignment,Sequence Alignment
crossref,41070,read alignment,Sequence Alignment
entrez,195781,read alignment,Sequence Alignment
arxiv,24428,read alignment,Sequence Alignment
scopus,75708,read alignment,Sequence Alignment
plos,27960,global alignment,Sequence Alignment
bmc,116785,global alignment,Sequence Alignment
crossref,248934,global alignment,Sequence Alignment
entrez,142923,global alignment,Sequence Alignment
arxiv,72526,global alignment,Sequence Alignment
scopus,170804,global alignment,Sequence Alignment
plos,33203,local sequence alignment,Sequence Alignment
bmc,84567,local sequence alignment,Sequence Alignment
crossref,249422,local sequence alignment,Sequence Alignment
entrez,123750,local sequence alignment,Sequence Alignment
arxiv,218877,local sequence alignment,Sequence Alignment
scopus,103038,local sequence alignment,Sequence Alignment
plos,2016,CNV,Variant Calling
bmc,13843,CNV,Variant Calling
crossref,609,CNV,Variant Calling
entrez,18091,CNV,Variant Calling
arxiv,22,CNV,Variant Calling
scopus,21796,CNV,Variant Calling
plos,18726,SNP,Variant Calling
bmc,82823,SNP,Variant Calling
crossref,5058,SNP,Variant Calling
entrez,140392,SNP,Variant Calling
arxiv,334,SNP,Variant Calling
scopus,180284,SNP,Variant Calling
plos,11390,Tandem Repeat,Variant Calling
bmc,75356,Tandem Repeat,Variant Calling
crossref,43940,Tandem Repeat,Variant Calling
entrez,88959,Tandem Repeat,Variant Calling
arxiv,8554,Tandem Repeat,Variant Calling
scopus,108105,Tandem Repeat,Variant Calling
plos,15254,short read assembly,Assembly
bmc,89897,short read assembly,Assembly
crossref,223813,short read assembly,Assembly
entrez,118624,short read assembly,Assembly
arxiv,70947,short read assembly,Assembly
scopus,34433,short read assembly,Assembly
plos,17535,long read assembly,Assembly
bmc,113118,long read assembly,Assembly
crossref,459602,long read assembly,Assembly
entrez,136543,long read assembly,Assembly
arxiv,105933,long read assembly,Assembly
scopus,37537,long read assembly,Assembly
plos,16992,hybrid assembly,Assembly
bmc,82763,hybrid assembly,Assembly
crossref,180391,hybrid assembly,Assembly
entrez,106454,hybrid assembly,Assembly
arxiv,31554,hybrid assembly,Assembly
scopus,405025,hybrid assembly,Assembly
plos,23455,GenBank,Databases
bmc,111058,GenBank,Databases
crossref,474,GenBank,Databases
entrez,242520,GenBank,Databases
arxiv,17,GenBank,Databases
scopus,479052,GenBank,Databases
plos,4195,EMBL,Databases
bmc,27468,EMBL,Databases
crossref,475,EMBL,Databases
entrez,57219,EMBL,Databases
arxiv,5,EMBL,Databases
scopus,25088,EMBL,Databases
plos,1391,DDBJ,Databases
bmc,14411,DDBJ,Databases
crossref,86,DDBJ,Databases
entrez,21217,DDBJ,Databases
scopus,5649,DDBJ,Databases
plos,5897,annotation pipeline,Genome Annotation
bmc,25115,annotation pipeline,Genome Annotation
crossref,17005,annotation pipeline,Genome Annotation
entrez,40827,annotation pipeline,Genome Annotation
arxiv,10819,annotation pipeline,Genome Annotation
scopus,18816,annotation pipeline,Genome Annotation
plos,28204,functional genome annotation,Genome Annotation
bmc,66459,functional genome annotation,Genome Annotation
crossref,345027,functional genome annotation,Genome Annotation
entrez,126704,functional genome annotation,Genome Annotation
arxiv,319958,functional genome annotation,Genome Annotation
scopus,102258,functional genome annotation,Genome Annotation
plos,83609,gene prediction,Genome Annotation
bmc,209385,gene prediction,Genome Annotation
crossref,478470,gene prediction,Genome Annotation
entrez,334465,gene prediction,Genome Annotation
arxiv,143869,gene prediction,Genome Annotation
scopus,593414,gene prediction,Genome Annotation
plos,36820,transcript quantification,Gene Expression
bmc,59641,transcript quantification,Gene Expression
crossref,45910,transcript quantification,Gene Expression
entrez,111724,transcript quantification,Gene Expression
arxiv,4872,transcript quantification,Gene Expression
